aa	Афарский
ab	Абхазский
af	Африкаанс
am	Амхарский
an	Арагонский
ar	Арабский
as	Ассамский
ay	Аймарский
az	Азербайджанский
ba	Башкирский
be	Белорусский
bg	Болгарский
bh	Бихарский
bi	Бислама
bn	Бенгальский
bo	Тибетский
br	Бретонский
ca	Каталонский
co	Корсиканский
cs	Чешский
cy	Валлийский (Уэльский)
da	Датский
de	Немецкий
dz	Бхутани
el	Греческий
en	Английский
eo	Эсперанто
es	Испанский
et	Эстонский
eu	Баскский
fa	Фарси
fi	Финский
fj	Фиджи
fo	Фарерский
fr	Французский
fy	Фризский
ga	Ирландский
gd	Гэльский (Шотландский )
gl	Галисийский
gn	Гуарани
gu	Гуджарати
gv	Гэльский (язык жителей острова Мэн)
ha	Хауса
he	Еврейский
hi	Хинди
hr	Хорватский
ht	Гаитянский Креольский
hu	Венгерский
hy	Армянский
ia	Интерлингва
id	Индонезийский
ie	Интерлингва
ii	Сычуань И
ik	Инупиак
io	Идо
is	Исландский
it	Итальянский
iu	Инуктитут
ja	Японский
jv	Яванский
ka	Грузинский
kk	Казахский
kl	Гренландский
km	Камбоджийский
kn	Каннада
ko	Корейский
ks	Кашмирский (Кашмири)
ku	Курдский
ky	Киргизский
la	Латинский
li	Лимбургский (Лимбургер)
ln	Лингала
lo	Лаосский
lt	Литовский
lv	Латвийский (Латышский )
mg	Малагасийский
mi	Маорийский
mk	Македонский
ml	Малаялам
mn	Монгольский
mo	Молдавский
mr	Маратхский
ms	Малайский
mt	Мальтийский
my	Бирманский
na	Науруанский
ne	Непальский
nl	Нидерландский
no	Норвежский
oc	Окситанский
om	Оромо (Афан, Галла)
or	Ория
pa	Пенджабский (Панджабский)
pl	Польский
ps	Пушту (Пушто)
pt	Португальский
qu	Кечуа
rm	Ретороманский
rn	Кирунди (Рунди)
ro	Румынский
ru	Русский
rw	Киняруанда (Руанда)
sa	Санскритский
sd	Синдхи
sg	Сангро
sh	Сербо-Хорватский
si	Сингальский (Сингалезский)
sk	Словацкий
sl	Словенский
sm	Самоанский
sn	Шона
so	Сомалийский
sq	Албанский
sr	Сербский
ss	Свати
st	Северный сото
su	Сунданский
sv	Шведский
sw	Суахили
ta	Тамильский
te	Телугу
tg	Таджикский
th	Тайский
ti	Тигринья
tk	Туркменский
tl	Тагальский
tn	Тсвана (Сетсвана)
to	Тонга (Тонганский)
tr	Турецкий
ts	Тсонга
tt	Татарский
tw	Чви (Тви)
ug	Уйгурский
uk	Украинский
ur	Урду
uz	Узбекский
vi	Вьетнамский
vo	Волапюк
wa	Валлон
wo	Волоф
xh	Коса
yi	Идиш
yo	Йоруба
zh	Китайский
zu	Зулусский
